ident,name,freq_mhz,lat,lon
CAS,Cascais DVOR/DME,114.3,38.748333333333335,-9.361944444444443
ESP,Espichel DVOR/DME,112.5,38.424166666666665,-9.185555555555556
VFA,Faro DVOR/DME,112.8,37.01361111111111,-7.9750000000000005
FTM,Fátima DVOR/DME,113.5,39.66555555555556,-8.492777777777777
LIS,Lisboa DVOR/DME,114.8,38.88777777777778,-9.162777777777778
NSA,Nisa DVOR/DME,115.5,39.56472222222222,-7.914722222222222
PRT,Porto DVOR/DME,114.1,41.27305555555555,-8.687777777777779
SGR,Sagres VOR/DME,113.9,37.0839,-8.94639
SRA,Sintra VORTAC,112.1,38.829201,-9.34
VBZ,Badajoz VOR/DME,116.8,38.889900, -6.815750
